"Jia C., Cai Y., Yu Y.T., Tse T.H.";"5W+1H pattern: A perspective of systematic mapping studies and a case study on cloud software testing";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923328222&partnerID=40&md5=ab9586291eb660686744b0d525513668;"A common type of study used by researchers to map out the landscape of a research topic is known as mapping study. Such a study typically begins with an exploratory search on the possible ideas of the research topic, which is often done in an unsystematic manner. Hence, the activity of formulating research questions in mapping studies is ill-defined, rendering it difficult for researchers who are new to the topic. There is a need to guide them kicking off a mapping study of an unfamiliar domain. This paper proposes a 5W+1H pattern to help investigators systematically examine a generic set of dimensions in a mapping study toward the formulation of research questions before identifying, reading, and analyzing sufficient articles of the topic. We have validated the feasibility of our proposal by conducting a case study of a mapping study on cloud software testing, that is, software testing for and on cloud computing platforms. The case study reveals that the 5W+1H pattern can lead investigators to define a set of systematic, generic, and complementary research questions, enabling them to kick off and expedite the mapping study process in a well-defined manner. We also share our experiences and lessons learned from our case study on the use of the 5W+1H pattern in mapping studies. © 2015 Elsevier Inc. All rights reserved.";"5W+1H pattern, Cloud software testing, Systematic mapping study"
"Carroll C., Falessi D., Forney V., Frances A., Izurieta C., Seaman C.";"A Mapping Study of Software Causal Factors for Improving Maintenance";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961661951&partnerID=40&md5=692d940e823529be710d2f4f2ee0307f;"Context: Software maintenance is important to keep existing software systems functional for organizations or users that depend on that software. Goal: We aim to identify the factors, i.e., software characteristics such as code complexity, leading to maintenance problems. Method: We present a Mapping Study (MS) on controlled experiments that investigated software characteristics related to defects during maintenance. Results: The search strategy identified 78 papers, of which 9 have been included in our study, dated from 1985 to 2013, after applying our inclusion and exclusion criteria. We extracted data from these papers to identify the research methods, and the independent, dependent, blocked, and measured variables. Conclusions: Our MS results point to a weak evidence on software factors causing defects during maintenance. Stronger evidence can be developed via more controlled experiments that address multiple independent variables and hold the software objects constant. © 2015 IEEE.";"controlled experiments, defects, mapping study, Software maintenance, systematic literature review"
"Lopez-Herrejon R.E., Fischer S., Ramler R., Egyed A.";"A first systematic mapping study on combinatorial interaction testing for software product lines";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934343294&partnerID=40&md5=ec6b20b311c1f97790d067319331ba4d;"Software Product Lines (SPLs) are families of related software systems distinguished by the set of features each one provides. Over the past decades SPLs have been the subject of extensive research and application both in academia and industry. SPLs practices have proven benefits such as better product customization and reduced time to market. Testing SPLs pose additional challenges stemming from the typically large number of product variants which make it infeasible to test every single one of them. In recent years, there has been an extensive research on applying Combinatorial Interaction Testing (CIT) for SPL testing. In this paper we present the first systematic mapping study on this subject. Our research questions aim to gather information regarding the techniques that have been applied, the nature of the case studies used for their evaluation, and what phases of CIT have been addressed. Our goal is to identify common trends, gaps, and opportunities for further research and application. © 2015 IEEE.,";
"Garousi V., Mäntylä M.V.";"A systematic literature review of literature reviews in software testing";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987968030&partnerID=40&md5=39f3eeecc191a79349289ea4d0d321f6;"Context Any newcomer or industrial practitioner is likely to experience difficulties in digesting large volumes of knowledge in software testing. In an ideal world, all knowledge used in industry, education and research should be based on high-quality evidence. Since no decision should be made based on a single study, secondary studies become essential in presenting the evidence. According to our search, over 101 secondary studies have been published in the area of software testing since 1994. With this high number of secondary studies, it is important to conduct a review in this area to provide an overview of the research landscape in this area. Objective The goal of this study is to systematically map (classify) the secondary studies in software testing. We propose that tertiary studies can serve as summarizing indexes which facilitate finding the most relevant information from secondary studies and thus supporting evidence-based decision making in any given area of software engineering. Our research questions (RQs) investigate: (1) Software-testing-specific areas, (2) Types of RQs investigated, (3) Numbers and Trends, and (4) Citations of the secondary studies. Method To conduct the tertiary study, we use the systematic-mapping approach. Additionally, we contrast the testing topics to the number of Google hits to address a general popularity of a testing topic and study the most popular papers in terms of citations. We furthermore demonstrate the practicality and usefulness of our results by mapping them to ISTQB foundation syllabus and to SWEBOK to provide implications for practitioners, testing educators, and researchers. Results After a systematic search and voting process, our study pool included 101 secondary studies in the area of software testing between 1994 and 2015. Among our results are the following: (1) In terms of number of secondary studies, model-based approach is the most popular testing method, web services are the most popular system under test (SUT), while regression testing is the most popular testing phase, (2) The quality of secondary studies, as measured by a criteria set established in the community, is slowly increasing as the years go by, and (3) Analysis of research questions, raised and studied in the pool of secondary studies, showed that there is a lack of causality and relationship type of research questions, a situation which needs to be improved if we, as a community, want to advance as a scientific field. (4) Among secondary studies, we found that regular surveys receive significantly more citations than SMs (p = 0.009) and SLRs (p = 0.014). Conclusion Despite the large number of secondary studies, we found that many important areas of software testing currently lack secondary studies, e.g., test management, role of product risk in testing, human factors in software testing, beta-testing (A/B-testing), exploratory testing, testability, test stopping criteria, and test-environment development. Having secondary studies in those areas is important for satisfying industrial and educational needs in software testing. On the other hand, education material of ISTQB foundation syllabus and SWEBOK could benefit from the inclusion of the latest research topics, namely search-based testing, use of cloud-computing for testing and symbolic execution. © 2016 Elsevier B.V.";"Secondary studies, Software testing, Surveys, Systematic literature reviews, Systematic mapping, Tertiary study"
"Brito M.A.S., Santos M.P., Souza S.R.S., Souza P.S.L.";"A systematic mapping of data generation for integration software testing";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988345153&partnerID=40&md5=f10417d2aad10c1c762d0ff6ba8926ac;"Different techniques have been proposed to test software artifacts and source code. Integration testing, however, has not been sufficiently applied to all types of systems that require high-quality evaluation. This paper summarizes approaches proposed to test data generation for integration testing identifying gaps and opportunities for further research. We conducted a systematic mapping study in order to discover how data generation for integration testing is supported by existing approaches. A subjective evaluation of the studies was also carried out to evaluate them in terms of quality. As a result of the systematic mapping we found 38 primary studies, published between 1996 and 2015. Most of them focus on specification-based coverage, and to a lesser extent, code coverage. The following trends were identified: increased use of UML models and concern regarding automated test data generation. Gaps were found in the use of gray-box approaches, mutation testing, data generation tools, and experimental validation studies. The study's findings enable researchers to attain an overview of existing approaches and identify points that require further attention. Future research work should look at cost and effectiveness of such approaches.,";
"Da Mota Silveira Neto P.A., Carmo MacHado I.D., McGregor J.D., De Almeida E.S., De Lemos Meira S.R.";"A systematic mapping study of software product lines testing";https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952451558&partnerID=40&md5=a966054f3f281e0f2e4234c8bea7f399;"Context: In software development, Testing is an important mechanism both to identify defects and assure that completed products work as specified. This is a common practice in single-system development, and continues to hold in Software Product Lines (SPL). Even though extensive research has been done in the SPL Testing field, it is necessary to assess the current state of research and practice, in order to provide practitioners with evidence that enable fostering its further development. Objective: This paper focuses on Testing in SPL and has the following goals: investigate state-of-the-art testing practices, synthesize available evidence, and identify gaps between required techniques and existing approaches, available in the literature. Method: A systematic mapping study was conducted with a set of nine research questions, in which 120 studies, dated from 1993 to 2009, were evaluated. Results: Although several aspects regarding testing have been covered by single-system development approaches, many cannot be directly applied in the SPL context due to specific issues. In addition, particular aspects regarding SPL are not covered by the existing SPL approaches, and when the aspects are covered, the literature just gives brief overviews. This scenario indicates that additional investigation, empirical and practical, should be performed. Conclusion: The results can help to understand the needs in SPL Testing, by identifying points that still require additional investigation, since important aspects regarding particular points of software product lines have not been addressed yet. © 2010 Elsevier B.V. All rights reserved.";"Mapping study, Software product lines, Software testing"
"Afzal W., Torkar R., Feldt R.";"A systematic mapping study on non-functional search-based software testing";https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952453274&partnerID=40&md5=0d3653455ce936d871b57b8f516b2988;"Automated software test generation has been applied across the spectrum of test case design methods, this includes white-box (structural), black-box (functional), grey-box (combination of structural and functional) and non-functional testing. In this paper, we undertake a systematic mapping study to present a broad review of primary studies on the application of search-based optimization techniques to non-functional testing. The motivation is to identify the evidence available on the topic and to identify gaps in the application of search-based optimization techniques to different types of non-functional testing. The study is based on a comprehensive set of 35 papers obtained after using a multi-stage selection criteria and are published in workshops, conferences and journals in the time span 1996-2007. We conclude that the search-based software testing community needs to do more and broader studies on non-functional search-based software testing (NFSBST) and the results from our systematic map can help direct such efforts.,";
"Barreiros E., Almeida A., Saraiva J., Soares S.";"A systematic mapping study on software engineering testbeds";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858737751&partnerID=40&md5=ea351c7fbb76a17afc002da9e7fa4d10;"Even though empirical research has grown in interest, techniques, methodologies and best practices are still in debate. In this context, testbeds are effective when one needs to evaluate and compare technologies. The concept is well disseminated in other areas such as Computer Networks, but remains poorly explored in Software Engineering (SE). This paper presents a systematic mapping study on the SE testbeds literature. From the initial set of 4239 studies, 13 primary studies were selected and categorized. Based on that, we found that Software Architecture is the most investigated topic, controlled experiment is the most used method to evaluate such testbeds, 20 benefits of using testbeds in SE have been identified and that testbeds comprise very heterogeneous structural elements. © 2011 IEEE.";"Empirical software engineering, Technology evaluation, Technology transfer, Testbeds"
"Barmi Z.A., Ebrahimi A.H., Feldt R.";"Alignment of requirements specification and testing: A systematic mapping study";https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051659665&partnerID=40&md5=946d9ca5308f2b04884f4276b6c2a12e;"Requirements should specify expectations on a software system and testing should ensure these expectations are met. Thus, to enable high product quality and efficient development it is crucial that requirements and testing activities and information are aligned. A lot of research has been done in the respective fields Requirements Engineering and Testing but there is a lack of summaries of the current state of the art on how to link the two. This study presents a systematic mapping of the alignment of specification and testing of functional or nonfunctional requirements in order to identify useful approaches and needs for future research. In particular we focus on results relevant for nonfunctional requirements but since only a few studies was found on alignment in total we also cover the ones on functional requirements. The map summarizes the 35 relevant papers found and discuss them within six major sub categories with model-based testing and traceability being the ones with most prior results. © 2011 IEEE.,";
"Kasoju A., Petersen K., Mäntylä M.V.";"Analyzing an automotive testing process with evidence-based software engineering";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877922741&partnerID=40&md5=b6dc2fcdca02a51db47c5925cfbaaa66;"Context: Evidence-based software engineering (EBSE) provides a process for solving practical problems based on a rigorous research approach. The primary focus so far was on mapping and aggregating evidence through systematic reviews. Objectives: We extend existing work on evidence-based software engineering by using the EBSE process in an industrial case to help an organization to improve its automotive testing process. With this we contribute in (1) providing experiences on using evidence based processes to analyze a real world automotive test process and (2) provide evidence of challenges and related solutions for automotive software testing processes. Methods: In this study we perform an in-depth investigation of an automotive test process using an extended EBSE process including case study research (gain an understanding of practical questions to define a research scope), systematic literature review (identify solutions through systematic literature), and value stream mapping (map out an improved automotive test process based on the current situation and improvement suggestions identified). These are followed by reflections on the EBSE process used. Results: In the first step of the EBSE process we identified 10 challenge areas with a total of 26 individual challenges. For 15 out of those 26 challenges our domain specific systematic literature review identified solutions. Based on the input from the challenges and the solutions, we created a value stream map of the current and future process. Conclusions: Overall, we found that the evidence-based process as presented in this study helps in technology transfer of research results to industry, but at the same time some challenges lie ahead (e.g. scoping systematic reviews to focus more on concrete industry problems, and understanding strategies of conducting EBSE with respect to effort and quality of the evidence). © 2013 Elsevier B.V. All rights reserved.";"Automotive software testing, Evidence-based software engineering, Process assessment"
"Cavalcanti Y.C., Da Mota Silveira Neto P.A., Machado I.D.C., Vale T.F., De Almeida E.S., Meira S.R.D.L.";"Challenges and opportunities for software change request repositories: A systematic mapping study";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904626790&partnerID=40&md5=7e8fe6e32dba1cdb6f3f9a3e39b3fed1;"Software maintenance starts as soon as the first artifacts are delivered and is essential for the success of the software. However, keeping maintenance activities and their related artifacts on track comes at a high cost. In this respect, change request (CR) repositories are fundamental in software maintenance. They facilitate the management of CRs and are also the central point to coordinate activities and communication among stakeholders. However, the benefits of CR repositories do not come without issues, and commonly occurring ones should be dealt with, such as the following: duplicate CRs, the large number of CRs to assign, or poorly described CRs. Such issues have led researchers to an increased interest in investigating CR repositories, by considering different aspects of software development and CR management. In this paper, we performed a systematic mapping study to characterize this research field. We analyzed 142 studies, which we classified in two ways. First, we classified the studies into different topics and grouped them into two dimensions: challenges and opportunities. Second, the challenge topics were classified in accordance with an existing taxonomy for information retrieval models. In addition, we investigated tools and services for CR management, to understand whether and how they addressed the topics identified. Copyright © 2013 John Wiley & Sons, Ltd. Change request repositories are fundamental for software maintenance. However, their benefits do not come without issues. We analyzed 142 studies to characterize the research on these issues and provide directions for future investigation. The studies were classified into topics and grouped into two dimensions: challenges and opportunities. Then, the challenges were classified in accordance with an existing taxonomy for information retrieval models. Additionally, we investigated different change request repositories to understand whether and how they addressed the topics identified. Copyright © 2013 John Wiley & Sons, Ltd.";"bug report, bug tracking, change request repository, software evolution, software maintenance, software quality assurance"
"Brink C., Heisig P., Wackermann F.";"Change impact in product lines: A systematic mapping study";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988892509&partnerID=40&md5=e13d8fd1207f2f064c58fb7a85a09838;"A product line (PL) supports and simplifies the development process of (software) systems by reusing assets. As systems are subjected to frequent alterations, the implementation of this changes can be a complex and error-prone task. For this reason a change impact analysis (CIA) systematically identifies locations that are affected by a change. While both approaches (PL and CIA) per se are often discussed in literature, the combination of them is still a challenge. This paper gives a comprehensive overview of literature, which addresses the integration of PL and CIA concepts. Furthermore, we classify our results to outline both, the current research stage as well as gaps. Therefore, we conducted a systematic mapping study incorporating 165 papers. While most of the papers have their background within Software Product Lines (SPLs) (44.2%) or PLs (5.5%), CIA in the combination with Multi Product Lines (2.4%) or Product Families (PFs) (1.8%) is sparsely addressed in literature. The results show that CIA for SPLs has been partially addressed yet, whereas the consideration of different disciplines (PFs) is insufficiently covered. © Springer International Publishing Switzerland 2016.";"Change impact analysis, Embedded systems, Hardware/Software, Product family, Product line, Systematic mapping study"
"Nissola F., Benitti F.B.V.";"Characteristics, attributes, metrics and usability recommendations: A systematic mapping";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966602566&partnerID=40&md5=7b11e8b0f75c1d4766c99f68b59e8772;"The research scenario concerned about software usability addresses a wide range of characteristics, attributes and evaluation models. As result, we can observe the evaluators difficult in order to select the characteristics that best apply to the product that is being evaluated. By this way, this paper presents a systematic mapping in order to identify the main characteristics of usability evaluation related to web, desktop and mobile devices environments. As results, we selected 31 papers in order to perform data extraction and way possible to produce a list of 28 evaluation characteristics. Copyright © IARIA, 2014.";"Systematic Mapping, Usability Evaluation"
"Melo S.M., Souza S.R.S., Silva R.A., Souza P.S.L.";"Concurrent software testing in practice: A catalog of tools";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960350804&partnerID=40&md5=5490f6be1c5b623eff6d7593c770b4cd;"The testing of concurrent programs is very complex due to the non-determinism present in those programs. They must be subjected to a systematic testing process that assists in the identification of defects and guarantees quality. Although testing tools have been proposed to support the concurrent program testing, to the best of our knowledge, no study that concentrates all testing tools to be used as a catalog for testers is available in the literature. This paper proposes a new classification for a set of testing tools for concurrent programs, regarding attributes, such as testing technique supported, programming language, and paradigm of development. The purpose is to provide a useful categorization guide that helps testing practitioners and researchers in the selection of testing tools for concurrent programs. A systematic mapping was conducted so that studies on testing tools for concurrent programs could be identified. As a main result, we provide a catalog with 116 testing tools appropriately selected and classified, among which the following techniques were identifies with higher support were Java and C/C++. Although a large number of tools have been categoirzed, most of them are academic and only few are available on a commercial scale. The classification proposed here can contribute to the state-of-the-art of testing tools for concurrent programs and also provides information for the exchange of knowledge between academy and industry. © 2015 ACM.";"Concurrent programs, Systematic mapping, Testing tools"
"Zhi J., Garousi-Yusifo?lu V., Sun B., Garousi G., Shahnewaz S., Ruhe G.";"Cost, benefits and quality of software development documentation: A systematic mapping";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912534729&partnerID=40&md5=5a2b8c80ac6e71817e1fa2ffb79f59fc;"Context: Software documentation is an integral part of any software development process. Researchers and practitioners have expressed concerns about costs, benefits and quality of software documentation in practice. On the one hand, there is a lack of a comprehensive model to evaluate the quality of documentation. On the other hand, researchers and practitioners need to assess whether documentation cost outweighs its benefit. Objectives: In this study, we aim to summarize the existing literature and provide an overview of the field of software documentation cost, benefit and quality. Method: We use the systematic-mapping methodology to map the existing body of knowledge related to software documentation cost, benefit and quality. To achieve our objectives, 11 Research Questions (RQ) are raised. The primary papers are carefully selected. After applying the inclusion and exclusion criteria, our study pool included a set of 69 papers from 1971 to 2011. A systematic map is developed and refined iteratively. Results: We present the results of a systematic mapping covering different research aspects related to software documentation cost, benefit and quality (RQ 1-11). Key findings include: (1) validation research papers are dominating (27 papers), followed by solution proposals (21 papers). (2) Most papers (61 out of 69) do not mention the development life-cycle model explicitly. Agile development is only mentioned in 6 papers. (3) Most papers include only one System under Study (SUS) which is mostly academic prototype. The average number of participants in survey-based papers is 106, the highest one having approximately 1000 participants. (4) In terms of focus of papers, 50 papers focused on documentation quality, followed by 37 papers on benefit, and 12 papers on documentation cost. (5) The quality attributes of documentation that appear in most papers are, in order: completeness, consistency and accessibility. Additionally, improved meta-models for documentation cost, benefit and quality are also presented. Furthermore, we have created an online paper repository of the primary papers analyzed and mapped during this study. Conclusion: Our study results show that this research area is emerging but far from mature. Firstly, documentation cost aspect seems to have been neglected in the existing literature and there are no systematic methods or models to measure cost. Also, despite a substantial number of solutions proposed during the last 40 years, more and stronger empirical evidences are still needed to enhance our understanding of this area. In particular, what we expect includes (1) more validation or evaluation studies, (2) studies involving large-scale development projects, or from large number of study participants of various organizations, (3) more industry-academia collaborations, (4) more estimation models or methods to assess documentation quality, benefit and, especially, cost. © 2014 Elsevier Inc. All rights reserved.";"Documentation benefit, Software documentation, Systematic mapping"
"Fernández-Sáez A.M., Genero M., Chaudron M.R.V.";"Empirical studies concerning the maintenance of UML diagrams and their use in the maintenance of code: A systematic mapping study";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877909370&partnerID=40&md5=b548f09fd4efa3d1319209f1db1125a6;"Context: The Unified Modelling Language (UML) has, after ten years, become established as the de facto standard for the modelling of object-oriented software systems. It is therefore relevant to investigate whether its use is important as regards the costs involved in its implantation in industry being worthwhile. Method: We have carried out a systematic mapping study to collect the empirical studies published in order to discover What is the current existing empirical evidence with regard to the use of UML diagrams in source code maintenance and the maintenance of the UML diagrams themselves? Results: We found 38 papers, which contained 63 experiments and 3 case studies. Conclusion: Although there is common belief that the use of UML is beneficial for source code maintenance, since the quality of the modifications is greater when UML diagrams are available, only 3 papers concerning this issue have been published. Most research (60 empirical studies) concerns the maintainability and comprehensibility of the UML diagrams themselves which form part of the system's documentation, since it is assumed that they may influence source code maintainability, although this has not been empirically validated. Moreover, the generalizability of the majority of the experiments is questionable given the material, tasks and subjects used. There is thus a need for more experiments and case studies to be performed in industrial contexts, i.e., with real systems and using maintenance tasks conducted by practitioners under real conditions that truly show the utility of UML diagrams in maintaining code, and that the fact that a diagram is more comprehensible or modifiable influences the maintainability of the code itself. This utility should also be studied from the viewpoint of cost and productivity, and the consistent and simultaneous maintenance of diagrams and code must also be considered in future empirical studies. © 2013 Elsevier B.V. All rights reserved.";"Empirical studies, Software maintenance, Systematic literature review, Systematic mapping study, UML"
"Ouhbi S., Idri A., Aleman J.L.F., Toval A.";"Evaluating software product quality: A systematic mapping study";https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924054129&partnerID=40&md5=19c52fa109db72d3bcb6b46d8b326ee1;"Evaluating software product quality (SPQ) is an important task to ensure the quality of software products. In this paper a systematic mapping study was performed to summarize the existing SPQ evaluation (SPQE) approaches in literature and to classify the selected studies according to seven classification criteria: SPQE approaches, research types, empirical types, data sets used in the empirical evaluation of these studies, artifacts, SQ models, and SQ characteristics. Publication channels and trends were also identified. 57 papers were selected. The results show that the main publication sources of the papers identified were journals. Data mining techniques are the most frequently approaches reported in literature. Solution proposals were the main research type identified. The majority of the selected papers were history-based evaluations using existing data, which were mainly obtained from open source software projects and domain specific projects. Source code was the main artifacts used by SPQE approaches. Well-known SQ models were mentioned by half of the selected papers and reliability is the SQ characteristic through which SPQE was mainly achieved. SPQE-related subjects seem to attract more interest from researchers since the past years. © 2014 IEEE.,";
